starttime	seconds	ctime	dtime	ttime	wait
Thu Sep 19 12:43:20 2024	1726731800	2	16	18	11
Thu Sep 19 12:43:20 2024	1726731800	2	16	18	15
Thu Sep 19 12:43:20 2024	1726731800	4	14	18	13
Thu Sep 19 12:43:20 2024	1726731800	1	17	18	16
Thu Sep 19 12:43:20 2024	1726731800	9	9	18	9
Thu Sep 19 12:43:20 2024	1726731800	3	15	18	8
Thu Sep 19 12:43:20 2024	1726731800	1	17	18	16
Thu Sep 19 12:43:20 2024	1726731800	2	16	18	10
Thu Sep 19 12:43:20 2024	1726731800	2	16	18	15
Thu Sep 19 12:43:20 2024	1726731800	3	16	18	8
Thu Sep 19 12:43:20 2024	1726731800	2	16	18	15
Thu Sep 19 12:43:20 2024	1726731800	4	15	18	13
Thu Sep 19 12:43:20 2024	1726731800	9	10	18	9
Thu Sep 19 12:43:20 2024	1726731800	3	15	18	8
Thu Sep 19 12:43:20 2024	1726731800	6	12	18	9
Thu Sep 19 12:43:20 2024	1726731800	2	16	18	15
Thu Sep 19 12:43:20 2024	1726731800	2	16	18	15
Thu Sep 19 12:43:20 2024	1726731800	2	16	18	15
Thu Sep 19 12:43:20 2024	1726731800	2	16	18	15
Thu Sep 19 12:43:20 2024	1726731800	4	15	18	13
Thu Sep 19 12:43:20 2024	1726731800	2	16	18	15
Thu Sep 19 12:43:20 2024	1726731800	4	14	18	6
Thu Sep 19 12:43:20 2024	1726731800	2	17	18	15
Thu Sep 19 12:43:20 2024	1726731800	2	16	18	14
Thu Sep 19 12:43:20 2024	1726731800	4	15	18	7
Thu Sep 19 12:43:20 2024	1726731800	2	16	18	15
Thu Sep 19 12:43:20 2024	1726731800	4	15	18	14
Thu Sep 19 12:43:20 2024	1726731800	2	17	18	15
Thu Sep 19 12:43:20 2024	1726731800	2	16	18	15
Thu Sep 19 12:43:20 2024	1726731800	4	15	18	7
Thu Sep 19 12:43:20 2024	1726731800	4	15	18	7
Thu Sep 19 12:43:20 2024	1726731800	3	16	19	8
Thu Sep 19 12:43:20 2024	1726731800	3	16	19	15
Thu Sep 19 12:43:20 2024	1726731800	1	17	19	16
Thu Sep 19 12:43:20 2024	1726731800	2	17	19	15
Thu Sep 19 12:43:20 2024	1726731800	7	12	19	8
Thu Sep 19 12:43:20 2024	1726731800	8	11	19	8
Thu Sep 19 12:43:20 2024	1726731800	0	19	19	2
Thu Sep 19 12:43:20 2024	1726731800	2	17	19	14
Thu Sep 19 12:43:20 2024	1726731800	4	15	19	6
Thu Sep 19 12:43:20 2024	1726731800	2	17	19	14
Thu Sep 19 12:43:20 2024	1726731800	3	16	19	9
Thu Sep 19 12:43:20 2024	1726731800	3	16	19	16
Thu Sep 19 12:43:20 2024	1726731800	4	16	19	9
Thu Sep 19 12:43:20 2024	1726731800	2	17	19	17
Thu Sep 19 12:43:20 2024	1726731800	4	15	19	15
Thu Sep 19 12:43:20 2024	1726731800	4	15	19	14
Thu Sep 19 12:43:20 2024	1726731800	7	13	19	11
Thu Sep 19 12:43:20 2024	1726731800	5	14	19	10
Thu Sep 19 12:43:20 2024	1726731800	2	17	20	15
Thu Sep 19 12:43:20 2024	1726731800	4	16	20	9
Thu Sep 19 12:43:20 2024	1726731800	10	10	20	9
Thu Sep 19 12:43:20 2024	1726731800	0	19	20	13
Thu Sep 19 12:43:20 2024	1726731800	0	19	20	12
Thu Sep 19 12:43:20 2024	1726731800	0	19	20	13
Thu Sep 19 12:43:20 2024	1726731800	1	19	20	13
Thu Sep 19 12:43:20 2024	1726731800	1	19	20	13
Thu Sep 19 12:43:20 2024	1726731800	4	16	20	16
Thu Sep 19 12:43:20 2024	1726731800	9	11	20	11
Thu Sep 19 12:43:20 2024	1726731800	1	19	20	13
Thu Sep 19 12:43:20 2024	1726731800	1	19	20	13
Thu Sep 19 12:43:20 2024	1726731800	1	19	20	13
Thu Sep 19 12:43:20 2024	1726731800	1	19	20	13
Thu Sep 19 12:43:20 2024	1726731800	1	19	20	13
Thu Sep 19 12:43:20 2024	1726731800	2	18	20	9
Thu Sep 19 12:43:20 2024	1726731800	10	10	20	9
Thu Sep 19 12:43:20 2024	1726731800	2	18	20	9
Thu Sep 19 12:43:20 2024	1726731800	1	19	20	13
Thu Sep 19 12:43:20 2024	1726731800	1	19	20	13
Thu Sep 19 12:43:20 2024	1726731800	1	19	20	8
Thu Sep 19 12:43:20 2024	1726731800	14	6	20	4
Thu Sep 19 12:43:20 2024	1726731800	1	19	20	13
Thu Sep 19 12:43:20 2024	1726731800	2	18	20	9
Thu Sep 19 12:43:20 2024	1726731800	3	17	20	15
Thu Sep 19 12:43:20 2024	1726731800	11	9	20	8
Thu Sep 19 12:43:20 2024	1726731800	10	10	20	9
Thu Sep 19 12:43:20 2024	1726731800	9	11	20	11
Thu Sep 19 12:43:20 2024	1726731800	1	19	20	13
Thu Sep 19 12:43:20 2024	1726731800	14	6	20	4
Thu Sep 19 12:43:20 2024	1726731800	4	16	20	9
Thu Sep 19 12:43:20 2024	1726731800	1	19	20	13
Thu Sep 19 12:43:20 2024	1726731800	14	6	20	5
